Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
455,Juwan Morgan,23,UTA,PF,29,0,147,4.6,9.9,0.467,1.3,4.3,0.308,3.3,5.6,0.588,0.533,1.0,2.3,0.429,3.0,6.3,9.3,3.0,1.3,0.3,1.3,7.0,11.6,116.0,110,,morgaju01,8.5,0.529,0.433,0.233,6.8,13.1,10.1,8.0,1.3,0.6,10.8,10.9,0.1,0.2,0.3,0.105,-3.5,1.2,-2.3,0.0,12.3,0.433,0.1,0.033,0.0,0.588,0.692,0.333,0.0,,0.308,0.7,1.0,0.067,2,0.231,0,0
456,Mamadi Diakite,24,MIL,PF,14,1,141,5.3,13.3,0.4,0.3,2.7,0.125,5.0,10.7,0.469,0.413,3.7,4.7,0.786,2.7,8.7,11.3,2.7,2.3,2.0,1.0,5.3,14.7,110.0,108,,diakima01,12.3,0.477,0.2,0.35,6.2,18.7,12.7,7.0,2.3,3.8,6.1,14.6,0.1,0.2,0.3,0.102,-3.3,0.9,-2.4,0.0,10.8,0.375,0.175,0.125,0.125,0.469,0.667,0.286,0.2,0.4,0.125,0.667,1.0,0.175,5,0.25,0,0
457,Jarrell Brantley,24,UTA,PF,28,0,138,8.8,18.4,0.481,4.2,9.9,0.429,4.6,8.5,0.542,0.596,0.7,0.7,1.0,3.2,6.4,9.5,5.3,2.5,0.7,2.8,6.0,22.6,120.0,107,,brantja01,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19.0,0.3,0.2,0.5,0.172,0.6,1.6,2.2,0.1,15.5,0.212,0.212,0.019,0.019,0.542,0.818,0.364,0.0,0.0,0.429,0.308,0.917,0.038,2,0.536,0,0
458,Tacko Fall,25,BOS,C,19,0,136,7.5,10.4,0.724,0.0,0.0,,7.5,10.4,0.724,0.724,1.8,5.4,0.333,5.7,12.9,18.7,1.1,0.4,7.2,2.2,7.9,16.9,124.0,104,,fallta01,19.6,0.66,0.0,0.517,13.0,29.7,21.3,3.1,0.4,13.7,14.4,13.2,0.2,0.3,0.5,0.177,-1.7,2.9,1.2,0.1,3.4,0.621,0.345,0.0,0.034,0.724,0.722,0.7,,1.0,,0.619,,0.448,12,,0,0
459,Yogi Ferrell,27,2TM,PG,10,0,136,7.3,20.7,0.351,3.3,10.2,0.321,4.0,10.5,0.379,0.43,2.5,3.3,0.778,1.8,5.1,6.9,8.0,2.5,1.1,1.1,4.0,20.4,110.0,111,,ferreyo01,14.4,0.459,0.491,0.158,4.1,11.4,7.8,22.9,2.5,2.0,4.7,20.7,0.1,0.2,0.3,0.099,-0.5,0.8,0.2,0.1,18.1,0.105,0.088,0.228,0.088,0.379,0.5,0.4,0.385,0.2,0.321,0.182,0.667,0.0,0,0.0,0,0
459,Yogi Ferrell,27,CLE,PG,2,0,40,9.9,25.9,0.381,3.7,11.1,0.333,6.2,14.8,0.417,0.452,0.0,2.5,0.0,3.7,4.9,8.6,6.2,3.7,1.2,3.7,4.9,23.4,90.0,110,,ferreyo01,12.4,0.434,0.429,0.095,8.2,11.5,9.8,20.9,3.7,2.2,12.1,27.1,-0.1,0.1,0.0,-0.036,-1.9,1.0,-1.0,0.0,17.4,0.095,0.143,0.286,0.048,0.417,0.5,0.333,0.5,0.0,0.333,0.4,1.0,0.0,0,0.0,0,0
459,Yogi Ferrell,27,LAC,PG,8,0,96,6.2,18.6,0.333,3.1,9.8,0.316,3.1,8.8,0.353,0.417,3.6,3.6,1.0,1.0,5.2,6.2,8.8,2.1,1.0,0.0,3.6,19.1,122.0,111,,ferreyo01,15.3,0.473,0.528,0.194,2.4,11.4,7.0,23.7,2.1,1.9,0.0,18.0,0.2,0.1,0.3,0.154,0.0,0.7,0.7,0.1,18.7,0.111,0.056,0.194,0.111,0.353,0.5,0.5,0.286,0.25,0.316,0.0,0.5,0.0,0,0.0,0,0
460,Deividas Sirvydis,20,DET,SG,20,0,133,5.2,14.8,0.35,3.7,10.3,0.357,1.5,4.4,0.333,0.475,1.1,2.2,0.5,0.0,10.7,10.7,1.8,0.7,0.0,1.8,3.3,15.1,90.0,114,,sirvyde01,5.7,0.481,0.7,0.15,0.0,24.5,12.1,5.4,0.7,0.0,10.5,15.7,-0.1,0.1,0.0,-0.01,-4.2,-1.2,-5.4,-0.1,19.1,0.175,0.075,0.025,0.025,0.333,0.571,0.0,0.0,0.0,0.357,1.0,0.7,0.0,0,0.393,0,0
461,Rodions Kurucs,22,3TM,PF,21,0,125,4.2,12.1,0.344,2.3,8.0,0.286,1.9,4.2,0.455,0.438,1.1,1.5,0.75,1.9,6.8,8.7,3.8,3.4,1.5,4.9,6.1,11.7,79.0,109,,kurucro01,6.3,0.459,0.656,0.125,4.3,15.4,9.8,10.3,3.4,2.9,27.8,15.9,-0.3,0.2,-0.1,-0.041,-6.4,1.8,-4.6,-0.1,18.9,0.25,0.031,0.031,0.031,0.455,0.625,0.0,0.0,0.0,0.286,0.8,1.0,0.094,2,0.238,0,0
461,Rodions Kurucs,22,BRK,PF,5,0,16,3.0,9.0,0.333,3.0,6.0,0.5,0.0,3.0,0.0,0.5,0.0,0.0,,0.0,9.0,9.0,6.0,0.0,0.0,0.0,3.0,9.0,128.0,117,,kurucro01,7.7,0.5,0.667,0.0,0.0,19.7,10.4,15.1,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.082,-0.8,0.8,0.0,0.0,23.6,0.0,0.0,0.0,0.333,0.0,,,,0.0,0.5,,1.0,0.0,0,0.5,0,0
