Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
1,Julius Randle,26,NYK,PF,71,71,2667,11.3,24.8,0.456,3.0,7.3,0.411,8.3,17.5,0.474,0.516,6.5,8.0,0.811,1.6,12.0,13.6,8.0,1.2,0.3,4.5,4.2,32.1,111.0,107,MVP-8MIP-1ASNBA2,randlju01,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,14.5,0.162,0.176,0.201,0.167,0.474,0.659,0.408,0.434,0.414,0.411,0.342,0.794,0.022,25,0.219,1,0
2,RJ Barrett,20,NYK,SG,72,72,2511,9.3,21.1,0.441,2.5,6.2,0.401,6.8,15.0,0.457,0.499,4.1,5.5,0.746,1.4,6.9,8.2,4.3,1.1,0.4,2.8,3.7,25.2,106.0,110,,barrerj01,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,11.5,0.325,0.228,0.087,0.069,0.457,0.605,0.318,0.315,0.397,0.401,0.353,0.976,0.04,39,0.427,1,0
3,Nikola Jokić,25,DEN,C,72,72,2488,14.5,25.7,0.566,1.8,4.7,0.388,12.7,21.0,0.606,0.602,6.8,7.8,0.868,4.1,11.4,15.5,11.9,1.9,1.0,4.4,3.8,37.7,130.0,109,MVP-1ASNBA1,jokicni01,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,10.6,0.244,0.35,0.14,0.082,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45,0.034,3,0
4,Buddy Hield,28,SAC,SG,71,71,2433,8.0,19.6,0.406,5.6,14.2,0.391,2.4,5.3,0.446,0.548,1.7,2.1,0.846,0.6,6.0,6.6,5.1,1.2,0.6,2.6,3.5,23.2,109.0,119,,hieldbu01,12.8,0.567,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,1.5,0.7,2.2,0.044,1.0,-1.6,-0.6,0.9,21.2,0.087,0.06,0.064,0.063,0.446,0.64,0.267,0.444,0.355,0.391,0.331,0.812,0.009,8,0.136,1,0
5,Damian Lillard,30,POR,PG,67,67,2398,12.2,27.1,0.451,5.6,14.3,0.391,6.7,12.8,0.519,0.554,9.1,9.8,0.928,0.7,5.1,5.8,10.3,1.3,0.3,4.1,2.1,39.2,125.0,118,MVP-7ASNBA2,lillada01,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5.0,17.9,0.238,0.096,0.044,0.094,0.519,0.631,0.359,0.441,0.437,0.391,0.177,0.393,0.015,19,0.038,4,0
6,Terry Rozier,26,CHO,SG,69,69,2383,10.5,23.2,0.45,4.5,11.7,0.389,5.9,11.5,0.512,0.548,3.4,4.1,0.817,1.0,5.2,6.2,6.0,1.8,0.5,2.6,2.4,28.8,113.0,114,,roziete01,17.1,0.575,0.504,0.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,0.105,2.2,-0.5,1.6,2.2,16.6,0.183,0.15,0.097,0.066,0.512,0.615,0.418,0.564,0.36,0.389,0.403,0.829,0.011,12,0.243,2,0
7,Russell Westbrook,32,WAS,PG,65,65,2369,10.6,24.1,0.439,1.7,5.3,0.315,8.9,18.8,0.475,0.474,5.3,8.0,0.656,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,105.0,110,MVP-11,westbru01,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4,13.2,0.194,0.245,0.117,0.224,0.475,0.65,0.465,0.379,0.383,0.315,0.164,0.628,0.025,24,0.103,0,0
8,Andrew Wiggins,25,GSW,PF,71,71,2364,10.0,21.0,0.477,2.8,7.3,0.38,7.3,13.7,0.529,0.543,3.4,4.7,0.714,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107.0,111,,wiggian01,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,14.2,0.218,0.197,0.108,0.129,0.529,0.706,0.5,0.404,0.38,0.38,0.479,0.829,0.065,65,0.247,0,0
9,Mikal Bridges,24,PHO,SF,72,72,2348,7.6,14.1,0.543,2.8,6.6,0.425,4.8,7.4,0.647,0.643,2.3,2.8,0.84,1.6,4.9,6.5,3.2,1.6,1.3,1.2,2.4,20.4,131.0,112,,bridgmi01,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,0.164,2.4,0.9,3.3,3.1,14.3,0.278,0.135,0.082,0.034,0.647,0.801,0.5,0.455,0.435,0.425,0.764,0.985,0.058,38,0.597,0,0
10,Nikola Vučević,30,2TM,C,70,70,2348,13.8,28.9,0.477,3.6,9.1,0.4,10.1,19.8,0.513,0.54,2.7,3.2,0.84,3.0,13.9,16.9,5.6,1.3,1.0,2.6,2.8,33.9,112.0,110,AS,vucevni01,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4,14.3,0.143,0.251,0.166,0.125,0.513,0.683,0.484,0.466,0.437,0.4,0.616,0.994,0.018,19,0.02,0,0
10,Nikola Vučević,30,ORL,C,44,44,1500,14.1,29.5,0.48,3.8,9.3,0.406,10.3,20.1,0.515,0.545,3.0,3.6,0.827,2.8,13.9,16.8,5.4,1.4,0.9,2.7,2.6,35.0,112.0,111,,vucevni01,23.5,0.565,0.317,0.121,5.8,30.8,17.9,22.1,1.4,1.7,8.0,29.9,2.1,1.8,3.9,0.125,5.5,0.4,5.9,3.0,15.0,0.126,0.24,0.175,0.142,0.515,0.693,0.495,0.465,0.45,0.406,0.608,1.0,0.015,10,0.017,0,0
10,Nikola Vučević,30,CHI,C,26,26,848,13.1,27.9,0.471,3.4,8.7,0.388,9.8,19.2,0.509,0.532,2.3,2.6,0.87,3.4,13.8,17.1,5.8,1.3,1.1,2.5,3.3,32.0,112.0,109,,vucevni01,21.8,0.55,0.311,0.094,7.8,31.2,19.6,20.0,1.3,2.1,7.8,28.2,1.2,1.2,2.4,0.137,3.9,0.5,4.4,1.4,13.7,0.174,0.273,0.15,0.092,0.509,0.671,0.466,0.466,0.4,0.388,0.632,0.983,0.023,9,0.026,0,0
11,Anthony Edwards,19,MIN,SG,72,55,2314,10.3,24.7,0.417,3.5,10.6,0.329,6.8,14.1,0.483,0.488,4.3,5.6,0.776,1.2,5.7,6.9,4.3,1.7,0.7,3.3,2.6,28.4,102.0,116,ROY-2,edwaran01,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,14.2,0.306,0.145,0.047,0.072,0.483,0.647,0.318,0.246,0.276,0.329,0.392,0.632,0.066,70,0.14,3,0
12,Jayson Tatum,22,BOS,SF,64,64,2290,12.9,28.1,0.459,4.0,10.3,0.386,8.9,17.8,0.502,0.53,6.3,7.3,0.868,1.1,9.0,10.1,5.9,1.6,0.7,3.6,2.6,36.1,114.0,112,AS,tatumja01,21.3,0.576,0.368,0.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,4.1,2.5,6.5,0.137,4.2,-0.3,3.9,3.4,14.6,0.197,0.206,0.141,0.088,0.502,0.735,0.417,0.349,0.422,0.386,0.383,0.465,0.045,55,0.136,1,0
13,Devin Booker,24,PHO,SG,67,67,2270,13.5,28.0,0.484,2.7,8.1,0.34,10.8,19.9,0.543,0.533,7.4,8.5,0.867,0.7,5.4,6.1,6.3,1.2,0.3,4.5,3.9,37.2,110.0,114,AS,bookede01,19.2,0.587,0.288,0.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,2.9,2.0,4.9,0.104,1.7,-1.4,0.3,1.3,14.5,0.179,0.163,0.231,0.139,0.543,0.678,0.481,0.542,0.441,0.34,0.394,0.659,0.021,24,0.086,1,0
14,Khris Middleton,29,MIL,SF,68,68,2269,10.6,22.2,0.476,3.1,7.6,0.414,7.5,14.7,0.508,0.546,4.4,4.9,0.898,1.1,7.3,8.4,7.7,1.5,0.2,3.7,3.3,28.7,116.0,113,,middlkh01,18.2,0.588,0.34,0.22,2.6,15.7,9.4,23.2,1.5,0.4,13.1,25.0,4.1,2.2,6.4,0.135,1.7,-0.3,1.3,1.9,15.7,0.15,0.146,0.196,0.168,0.508,0.652,0.49,0.464,0.444,0.414,0.333,0.649,0.014,11,0.156,0,0
15,Duncan Robinson,26,MIA,SF,72,72,2262,6.9,15.7,0.439,5.5,13.5,0.408,1.4,2.3,0.625,0.614,1.4,1.6,0.827,0.2,5.3,5.5,2.8,0.9,0.4,1.8,4.0,20.7,113.0,114,,robindu01,11.0,0.628,0.855,0.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,1.9,1.8,3.7,0.079,-0.2,-0.8,-1.0,0.6,22.8,0.079,0.029,0.022,0.014,0.625,0.825,0.429,0.438,0.2,0.408,0.892,0.972,0.006,4,0.186,0,0
16,Luka Dončić,21,DAL,PG,66,66,2262,14.1,29.5,0.479,4.2,11.9,0.35,9.9,17.5,0.567,0.55,7.5,10.3,0.73,1.2,10.3,11.5,12.4,1.4,0.8,6.1,3.3,39.9,114.0,111,MVP-6ASNBA1,doncilu01,25.3,0.587,0.406,0.349,2.7,22.9,12.8,44.1,1.4,1.5,15.3,36.0,5.1,2.6,7.7,0.163,6.1,0.7,6.8,5.1,15.6,0.18,0.201,0.153,0.06,0.567,0.708,0.507,0.512,0.481,0.35,0.095,0.234,0.008,11,0.031,5,0
17,Robert Covington,30,POR,PF,70,70,2243,4.4,11.1,0.401,2.9,7.7,0.379,1.5,3.3,0.451,0.533,1.1,1.3,0.806,1.3,8.8,10.1,2.5,2.2,1.8,1.4,4.2,12.9,113.0,112,,covinro01,11.2,0.553,0.699,0.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,1.4,2.4,3.7,0.08,-1.3,1.5,0.2,1.2,19.6,0.181,0.075,0.016,0.029,0.451,0.587,0.211,0.125,0.4,0.379,0.652,0.948,0.031,10,0.126,1,0
18,Royce O'Neale,27,UTA,SF,71,71,2241,3.8,8.6,0.444,2.3,6.0,0.385,1.5,2.5,0.586,0.58,0.8,1.0,0.848,1.9,8.6,10.5,3.9,1.2,0.7,1.8,4.0,10.8,121.0,108,,onealro01,9.9,0.599,0.706,0.117,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,2.3,3.3,5.6,0.121,-1.2,2.1,1.0,1.7,19.0,0.193,0.079,0.01,0.013,0.586,0.737,0.323,0.5,0.0,0.385,0.603,0.981,0.051,18,0.306,0,0
19,Domantas Sabonis,24,IND,PF,62,62,2231,10.3,19.2,0.535,1.1,3.4,0.321,9.2,15.7,0.582,0.564,5.1,6.9,0.732,3.2,12.5,15.7,8.8,1.6,0.7,4.5,4.3,26.7,115.0,110,AS,sabondo01,20.6,0.601,0.179,0.363,7.3,28.6,18.0,27.5,1.6,1.2,16.9,24.1,4.0,3.0,6.9,0.149,2.3,1.6,3.8,3.3,8.8,0.431,0.259,0.076,0.054,0.582,0.746,0.427,0.362,0.327,0.321,0.606,0.962,0.046,39,0.049,0,0
20,Bojan Bogdanović,31,UTA,SF,72,72,2216,8.9,20.3,0.439,4.0,10.1,0.39,5.0,10.2,0.487,0.536,5.1,5.8,0.879,0.9,5.3,6.2,3.0,1.0,0.1,2.8,2.5,26.9,113.0,112,,bogdabo02,14.0,0.588,0.498,0.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,2.7,2.5,5.2,0.113,0.2,-0.7,-0.4,0.9,15.4,0.181,0.226,0.079,0.016,0.487,0.635,0.411,0.438,0.133,0.39,0.412,0.961,0.015,11,0.406,0,0
21,Norman Powell,27,2TM,SG,69,58,2205,9.6,20.2,0.477,3.8,9.2,0.411,5.9,11.1,0.532,0.57,5.2,6.0,0.871,0.9,3.8,4.7,2.8,1.8,0.4,2.6,3.5,28.3,116.0,116,,powelno01,16.2,0.618,0.453,0.295,2.0,8.8,5.3,9.2,1.8,0.8,10.3,22.6,3.4,1.3,4.7,0.103,1.1,-0.7,0.4,1.3,14.2,0.275,0.181,0.053,0.038,0.532,0.647,0.416,0.367,0.486,0.411,0.547,0.836,0.044,32,0.317,2,0
21,Norman Powell,27,TOR,SG,42,31,1277,10.7,21.5,0.498,4.5,10.2,0.439,6.2,11.3,0.552,0.602,5.3,6.2,0.865,0.7,4.1,4.8,2.9,1.8,0.3,2.9,3.7,31.2,117.0,115,,powelno01,17.7,0.645,0.475,0.288,1.6,9.6,5.4,10.0,1.8,0.6,10.8,24.2,2.3,0.9,3.2,0.12,2.2,-0.7,1.5,1.1,14.6,0.265,0.184,0.042,0.034,0.552,0.647,0.471,0.292,0.579,0.439,0.555,0.814,0.044,19,0.327,1,0
21,Norman Powell,27,POR,SF,27,27,928,8.2,18.5,0.443,2.8,7.7,0.361,5.4,10.8,0.502,0.518,5.0,5.7,0.88,1.2,3.5,4.7,2.7,1.8,0.5,2.2,3.3,24.2,114.0,118,,powelno01,14.2,0.576,0.418,0.307,2.6,7.8,5.1,8.1,1.8,1.0,9.5,20.5,1.1,0.4,1.5,0.078,-0.5,-0.7,-1.2,0.2,13.7,0.29,0.176,0.071,0.045,0.502,0.647,0.323,0.44,0.375,0.361,0.534,0.887,0.043,13,0.299,1,0
22,Chris Paul,35,PHO,PG,70,70,2199,9.9,19.7,0.499,2.3,5.8,0.395,7.6,13.9,0.543,0.557,3.8,4.1,0.934,0.6,6.4,7.0,14.0,2.2,0.4,3.5,3.7,25.8,124.0,111,MVP-5ASNBA2,paulch01,21.4,0.599,0.294,0.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,6.5,2.7,9.2,0.201,3.5,1.1,4.6,3.6,16.9,0.058,0.114,0.327,0.208,0.543,0.667,0.55,0.516,0.546,0.395,0.083,0.412,0.0,0,0.097,4,0
23,Rudy Gobert,28,UTA,C,71,71,2187,8.7,12.9,0.675,0.0,0.1,0.0,8.7,12.8,0.68,0.675,5.2,8.3,0.623,5.3,16.0,21.4,2.0,0.9,4.2,2.6,3.6,22.6,131.0,101,MVP-10DPOY-1ASNBA3DEF1,goberru01,23.5,0.683,0.007,0.646,12.2,33.5,23.3,6.0,0.9,7.0,13.7,17.0,6.1,5.2,11.3,0.248,2.1,2.8,4.9,3.8,2.7,0.77,0.209,0.005,0.009,0.68,0.798,0.281,0.0,0.2,0.0,0.767,,0.432,231,0.25,3,0
24,Justin Holiday,31,IND,SG,72,52,2183,5.6,13.5,0.413,3.7,9.8,0.382,1.8,3.7,0.494,0.551,1.5,1.8,0.788,0.7,4.9,5.5,2.6,1.6,0.9,1.2,2.9,16.4,112.0,114,,holidju01,10.4,0.571,0.725,0.136,1.6,11.1,6.4,7.0,1.6,1.5,7.5,14.0,1.4,1.8,3.1,0.069,-0.9,-0.1,-1.0,0.6,19.9,0.165,0.034,0.027,0.05,0.494,0.612,0.19,0.118,0.516,0.382,0.671,0.971,0.034,18,0.371,0,0
25,Isaac Okoro,20,CLE,SG,67,67,2173,5.3,12.7,0.42,1.4,4.9,0.29,3.9,7.8,0.501,0.476,2.6,3.6,0.726,1.5,3.1,4.7,2.9,1.4,0.5,2.0,4.2,14.7,103.0,117,,okorois01,7.9,0.514,0.383,0.281,3.4,7.3,5.3,8.6,1.4,1.0,12.0,14.3,-0.1,1.0,0.9,0.02,-4.2,-0.9,-5.1,-1.7,11.8,0.377,0.197,0.023,0.02,0.501,0.611,0.364,0.077,0.273,0.29,0.659,0.871,0.063,32,0.383,0,0
26,Coby White,20,CHI,PG,69,54,2156,8.4,20.3,0.416,3.7,10.2,0.359,4.8,10.1,0.473,0.506,2.9,3.2,0.901,0.6,5.8,6.4,7.4,0.9,0.3,3.5,4.0,23.4,106.0,115,,whiteco01,12.0,0.54,0.503,0.157,1.5,13.0,7.3,21.8,0.9,0.6,13.9,22.5,0.7,1.7,2.4,0.052,-1.2,-1.2,-2.4,-0.2,16.6,0.221,0.109,0.063,0.104,0.473,0.558,0.347,0.456,0.436,0.359,0.292,0.785,0.008,7,0.163,1,0
27,Stephen Curry,32,GSW,PG,63,63,2152,14.4,29.8,0.482,7.4,17.5,0.421,7.0,12.3,0.569,0.605,7.9,8.6,0.916,0.6,6.9,7.5,7.9,1.7,0.2,4.6,2.6,44.0,119.0,111,MVP-3ASNBA1,curryst01,26.3,0.655,0.587,0.289,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9.0,0.201,8.3,0.4,8.7,5.8,19.3,0.148,0.136,0.06,0.069,0.569,0.663,0.532,0.549,0.457,0.421,0.411,0.588,0.0,0,0.072,11,0
28,Bradley Beal,27,WAS,SG,60,60,2147,14.4,29.7,0.485,2.8,8.0,0.349,11.6,21.7,0.535,0.532,8.8,9.9,0.889,1.5,4.5,6.1,5.7,1.5,0.5,4.0,3.0,40.3,114.0,115,ASNBA3,bealbr01,22.7,0.593,0.27,0.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,13.3,0.177,0.274,0.143,0.136,0.535,0.66,0.53,0.47,0.452,0.349,0.43,0.723,0.021,24,0.169,0,0
29,Bam Adebayo,23,MIA,C,64,64,2143,10.6,18.5,0.57,0.0,0.2,0.25,10.5,18.4,0.573,0.571,6.6,8.2,0.799,3.3,10.0,13.3,8.0,1.7,1.5,3.9,3.4,27.7,122.0,108,DPOY-4DEF2,adebaba01,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,0.197,2.9,2.0,4.9,3.7,7.6,0.353,0.303,0.225,0.11,0.573,0.794,0.471,0.456,0.386,0.25,0.656,1.0,0.188,137,0.125,0,0
30,Joe Harris,29,BRK,SF,69,65,2141,8.0,15.9,0.505,4.8,10.0,0.475,3.3,5.9,0.555,0.654,1.1,1.4,0.778,1.0,4.6,5.6,2.9,1.0,0.3,1.4,3.2,21.9,126.0,117,,harrijo01,14.1,0.663,0.628,0.089,2.3,10.1,6.4,8.4,1.0,0.6,7.8,16.2,4.1,1.1,5.2,0.117,1.6,-1.2,0.4,1.3,18.5,0.171,0.076,0.071,0.054,0.555,0.661,0.426,0.54,0.421,0.475,0.774,1.0,0.003,2,0.209,0,0
31,Dejounte Murray,24,SAS,PG,67,67,2139,10.0,22.1,0.453,1.4,4.5,0.317,8.6,17.6,0.488,0.485,2.4,3.0,0.791,1.3,9.4,10.7,8.2,2.3,0.2,2.7,3.1,23.8,106.0,111,,murrade01,16.5,0.509,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,0.7,2.6,3.3,0.074,-0.2,1.0,0.8,1.5,12.6,0.193,0.205,0.266,0.131,0.488,0.649,0.39,0.452,0.477,0.317,0.275,0.857,0.013,12,0.206,0,0
32,Kevin Huerter,22,ATL,SG,69,49,2126,7.3,16.9,0.432,3.2,8.9,0.363,4.1,8.0,0.51,0.528,1.2,1.5,0.781,0.9,4.5,5.3,5.6,1.9,0.4,1.8,3.8,19.0,112.0,115,,huertke01,12.2,0.541,0.528,0.088,2.0,9.7,6.0,16.3,1.9,0.7,9.4,17.2,1.9,1.7,3.6,0.08,-0.6,0.4,-0.3,1.0,17.4,0.12,0.167,0.141,0.044,0.51,0.625,0.418,0.563,0.375,0.363,0.409,0.879,0.012,9,0.199,1,0
33,Trae Young,22,ATL,PG,63,63,2125,11.3,25.7,0.438,3.1,9.2,0.343,8.1,16.6,0.491,0.499,11.2,12.6,0.886,0.9,4.8,5.7,13.8,1.2,0.3,6.0,2.6,36.9,117.0,116,,youngtr01,23.0,0.589,0.357,0.491,2.0,10.5,6.3,45.5,1.2,0.5,16.2,33.0,5.9,1.3,7.2,0.163,5.3,-1.7,3.7,3.0,15.3,0.162,0.226,0.181,0.075,0.491,0.572,0.47,0.428,0.53,0.343,0.125,0.287,0.0,0,0.038,0,0
34,Deandre Ayton,22,PHO,C,69,69,2115,10.0,16.0,0.626,0.1,0.5,0.2,9.9,15.6,0.639,0.629,3.1,4.0,0.769,5.3,11.6,17.0,2.3,1.0,1.9,2.4,4.6,23.3,127.0,109,,aytonde01,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7,5.5,0.53,0.259,0.137,0.045,0.639,0.766,0.517,0.479,0.323,0.2,0.714,1.0,0.166,109,0.0,0,0
35,Collin Sexton,22,CLE,SG,60,60,2115,12.2,25.8,0.475,2.3,6.2,0.371,10.0,19.6,0.508,0.519,7.3,8.9,0.815,1.4,3.0,4.4,6.1,1.4,0.2,3.9,3.7,34.0,111.0,118,,sextoco01,18.0,0.573,0.239,0.347,3.0,7.0,4.9,22.6,1.4,0.4,11.6,29.7,2.6,0.9,3.5,0.08,1.8,-1.9,-0.2,1.0,11.7,0.273,0.251,0.163,0.074,0.508,0.619,0.455,0.483,0.329,0.371,0.422,0.684,0.01,9,0.102,0,0
36,Eric Bledsoe,31,NOP,SG,71,70,2111,7.0,16.6,0.421,2.7,8.1,0.341,4.2,8.5,0.496,0.503,3.0,4.4,0.687,0.7,4.9,5.5,6.1,1.2,0.5,2.6,2.5,19.7,108.0,116,,bledser01,11.5,0.533,0.486,0.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,1.1,1.3,2.3,0.053,-1.2,-0.9,-2.0,0.0,16.5,0.159,0.167,0.11,0.078,0.496,0.681,0.393,0.425,0.439,0.341,0.489,0.86,0.0,0,0.22,1,0
37,Harrison Barnes,28,SAC,PF,58,58,2102,7.3,14.7,0.497,2.3,5.8,0.391,5.0,8.8,0.567,0.575,4.5,5.4,0.83,1.5,7.3,8.8,4.6,1.0,0.3,2.1,1.7,21.3,123.0,119,,barneha02,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,4.0,0.5,4.5,0.103,1.5,-1.3,0.2,1.1,12.5,0.307,0.248,0.044,0.003,0.567,0.721,0.415,0.393,0.0,0.391,0.584,0.88,0.059,35,0.223,0,0
38,Brandon Ingram,23,NOP,SF,61,61,2093,11.8,25.2,0.466,3.3,8.6,0.381,8.5,16.6,0.51,0.531,6.4,7.3,0.878,0.8,6.1,6.9,6.8,1.0,0.8,3.5,2.8,33.2,115.0,116,,ingrabr01,19.2,0.584,0.341,0.291,1.8,13.7,7.8,22.4,1.0,1.6,11.0,28.0,3.9,1.3,5.3,0.12,3.3,-1.1,2.2,2.2,15.9,0.144,0.115,0.224,0.176,0.51,0.677,0.417,0.449,0.51,0.381,0.368,0.79,0.027,26,0.165,3,0
39,DeMar DeRozan,31,SAS,PF,61,61,2056,10.7,21.7,0.495,0.4,1.7,0.257,10.3,20.0,0.515,0.505,9.1,10.4,0.88,0.9,5.2,6.1,10.0,1.3,0.4,2.8,3.0,31.1,122.0,115,,derozde01,22.0,0.591,0.08,0.478,2.0,11.6,6.7,32.0,1.3,0.6,9.7,26.1,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,11.0,0.191,0.268,0.282,0.178,0.515,0.636,0.51,0.459,0.482,0.257,0.248,0.947,0.021,17,0.324,0,0
40,Ja Morant,21,MEM,PG,63,63,2053,10.0,22.3,0.449,1.7,5.6,0.303,8.3,16.7,0.499,0.487,6.3,8.7,0.728,1.4,4.5,5.9,10.8,1.3,0.3,4.7,2.0,28.0,108.0,115,,moranja01,16.7,0.537,0.252,0.389,3.0,10.1,6.5,33.5,1.3,0.6,15.3,27.2,1.6,1.6,3.2,0.074,1.3,-1.6,-0.4,0.8,10.7,0.335,0.261,0.132,0.02,0.499,0.632,0.372,0.437,0.316,0.303,0.294,0.603,0.06,46,0.104,1,0
41,Jae'Sean Tate,25,HOU,SF,70,58,2043,7.3,14.5,0.506,1.4,4.5,0.308,5.9,10.0,0.595,0.554,2.4,3.4,0.694,3.1,5.6,8.7,4.1,2.0,0.8,2.3,5.1,18.4,114.0,115,,tateja01,13.8,0.576,0.312,0.235,6.6,13.2,9.8,13.2,2.0,1.6,12.4,16.4,2.2,1.6,3.8,0.088,-1.6,0.3,-1.4,0.3,10.2,0.405,0.253,0.019,0.011,0.595,0.719,0.449,0.083,0.286,0.308,0.539,0.95,0.05,27,0.405,0,0
42,De'Aaron Fox,23,SAC,PG,58,58,2036,12.5,26.2,0.477,2.4,7.5,0.322,10.0,18.6,0.539,0.523,7.1,9.8,0.719,0.8,4.0,4.8,9.8,2.1,0.6,4.1,4.0,34.4,113.0,118,,foxde01,20.7,0.565,0.288,0.376,1.8,9.4,5.5,32.7,2.1,1.1,11.9,31.0,3.4,0.8,4.2,0.098,3.1,-1.3,1.8,2.0,12.9,0.233,0.232,0.151,0.095,0.539,0.761,0.426,0.482,0.362,0.322,0.16,0.524,0.015,17,0.094,1,0
43,Zach LaVine,25,CHI,SG,58,58,2034,13.6,26.8,0.507,4.8,11.4,0.419,8.8,15.4,0.571,0.596,6.0,7.1,0.849,0.9,6.0,6.9,6.7,1.1,0.6,4.8,3.3,37.9,115.0,114,AS,lavinza01,21.5,0.634,0.425,0.265,2.0,13.6,7.9,23.4,1.1,1.2,13.9,31.0,4.0,1.8,5.9,0.138,4.9,-0.8,4.0,3.1,14.9,0.31,0.093,0.061,0.11,0.571,0.693,0.362,0.478,0.46,0.419,0.355,0.515,0.05,53,0.145,1,0
44,Zion Williamson,20,NOP,PF,61,61,2026,15.0,24.5,0.611,0.2,0.8,0.294,14.8,23.7,0.622,0.616,8.7,12.5,0.698,4.0,6.5,10.4,5.3,1.3,0.9,4.0,3.2,39.0,124.0,115,AS,willizi01,27.1,0.649,0.033,0.51,8.9,14.7,11.8,19.7,1.3,1.8,11.6,29.8,7.1,1.6,8.7,0.205,6.1,-0.3,5.8,4.0,3.4,0.696,0.257,0.012,0.002,0.622,0.701,0.419,0.5,0.0,0.294,0.553,1.0,0.13,123,0.029,1,0
45,Tobias Harris,28,PHI,PF,62,62,2014,11.3,22.1,0.512,2.0,5.0,0.394,9.4,17.1,0.546,0.556,4.4,4.9,0.892,1.5,8.5,10.0,5.3,1.3,1.2,2.6,2.8,29.0,118.0,108,,harrito02,20.0,0.597,0.225,0.221,3.5,19.2,11.4,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,0.17,2.9,0.8,3.7,2.9,11.7,0.22,0.313,0.144,0.098,0.546,0.709,0.474,0.511,0.462,0.394,0.358,0.817,0.043,35,0.202,0,0
