Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,DeMar DeRozan,34,CHI,SF,79,79,2989,10.8,22.6,0.48,1.3,3.8,0.333,9.6,18.8,0.509,0.507,8.7,10.2,0.853,0.7,5.0,5.7,7.0,1.5,0.8,2.3,2.7,31.6,122.0,118,CPOY-2,derozde01,19.7,0.584,0.166,0.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,7.0,2.2,9.2,0.147,2.1,-0.3,1.8,2.8
2,Domantas Sabonis,27,SAC,C,82,82,2928,10.5,17.7,0.594,0.5,1.4,0.379,10.0,16.3,0.613,0.609,4.8,6.9,0.704,4.9,13.7,18.6,11.2,1.2,0.8,4.5,4.1,26.4,127.0,112,MVP-8DPOY-10NBA3,sabondo01,23.2,0.637,0.081,0.389,11.0,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4.0,12.6,0.206,4.0,2.4,6.5,6.2
3,Coby White,23,CHI,PG,79,78,2881,9.4,20.9,0.447,3.6,9.6,0.376,5.7,11.3,0.508,0.534,3.8,4.5,0.838,0.8,5.4,6.2,7.0,0.9,0.3,2.9,3.2,26.1,115.0,120,,whiteco01,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9
4,Mikal Bridges,27,BRK,SF,82,82,2854,9.8,22.5,0.436,3.8,10.3,0.372,6.0,12.2,0.49,0.521,4.5,5.5,0.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2.0,27.9,112.0,118,,bridgmi01,14.9,0.56,0.457,0.245,2.5,12.0,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2
5,Paolo Banchero,21,ORL,PF,80,80,2799,11.3,24.9,0.455,2.1,6.2,0.339,9.2,18.7,0.493,0.497,7.2,9.9,0.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109.0,112,AS,banchpa01,17.3,0.546,0.249,0.397,3.4,20.0,11.6,25.2,1.3,1.6,13.0,29.7,1.3,4.0,5.3,0.09,1.3,0.0,1.3,2.3
6,Kevin Durant,35,PHO,PF,75,75,2791,13.1,25.1,0.523,2.9,7.1,0.413,10.2,18.0,0.567,0.581,6.3,7.4,0.856,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,118.0,114,MVP-9ASNBA2,duranke01,21.2,0.626,0.283,0.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,0.142,4.0,0.1,4.0,4.3
7,Dejounte Murray,27,ATL,SG,78,78,2783,11.6,25.2,0.459,3.5,9.5,0.363,8.1,15.7,0.518,0.528,3.6,4.5,0.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114.0,119,,murrade01,17.7,0.555,0.379,0.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6
8,Anthony Edwards,22,MIN,SG,79,78,2770,12.8,27.8,0.461,3.4,9.5,0.357,9.4,18.3,0.515,0.522,7.5,9.0,0.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112.0,110,MVP-7CPOY-8ASNBA2,edwaran01,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7
9,Nikola Jokić,28,DEN,C,79,79,2737,14.9,25.6,0.583,1.5,4.2,0.359,13.4,21.4,0.626,0.612,6.5,7.9,0.817,4.0,13.6,17.7,12.8,2.0,1.2,4.3,3.5,37.8,131.0,108,MVP-1CPOY-4ASNBA1,jokicni01,31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6
10,Jalen Brunson,27,NYK,PG,77,77,2726,14.6,30.5,0.479,3.9,9.7,0.401,10.7,20.8,0.516,0.543,7.8,9.2,0.847,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,124.0,117,MVP-5CPOY-5ASNBA2,brunsja01,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4
