Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
17,Zach LaVine,29,2TM,SG,74,74,2602,8.6,16.9,0.511,3.3,7.4,0.446,5.3,9.5,0.562,0.609,3.3,3.9,0.825,0.3,4.1,4.4,4.3,0.8,0.2,2.9,1.7,23.9,,lavinza01,17.3,0.639,0.438,0.233,0.9,12.0,6.5,18.3,1.1,0.4,13.4,25.3,3.7,1.4,5.1,0.094,2.3,-1.6,0.7,1.8
17,Zach LaVine,29,CHI,SF,42,42,1432,9.1,17.8,0.511,3.4,7.7,0.446,5.7,10.2,0.56,0.607,3.6,4.6,0.797,0.3,4.8,5.1,4.8,1.0,0.3,3.0,1.6,25.3,,lavinza01,18.4,0.637,0.43,0.256,0.9,13.7,7.4,20.5,1.3,0.6,13.3,26.6,2.0,1.0,3.0,0.101,2.7,-1.0,1.6,1.3
17,Zach LaVine,29,SAC,SG,32,32,1170,8.1,15.8,0.511,3.2,7.1,0.446,4.9,8.7,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.7,0.6,0.1,2.7,1.8,22.1,,lavinza01,15.9,0.642,0.45,0.201,1.0,9.9,5.4,15.6,0.8,0.2,13.5,23.7,1.7,0.4,2.1,0.086,1.8,-2.3,-0.4,0.5
18,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,11.9,22.9,0.519,2.3,6.0,0.375,9.7,16.9,0.571,0.569,8.3,9.3,0.898,0.9,4.3,5.3,6.7,1.8,1.1,2.5,2.3,34.4,MVP-1DPOY-10CPOY-8ASNBA1,gilgesh01,30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,7.3,14.5,0.504,2.7,6.8,0.395,4.7,7.8,0.599,0.596,2.1,2.7,0.768,1.9,5.6,7.5,2.3,0.7,0.5,1.4,2.2,19.4,,portemi01,16.2,0.617,0.467,0.185,6.1,16.2,11.4,8.7,0.9,1.3,8.4,20.2,4.6,1.8,6.4,0.118,1.6,-1.7,-0.1,1.2
20,Derrick White,30,BOS,SG,76,76,2574,5.9,13.4,0.442,3.7,9.7,0.384,2.2,3.7,0.593,0.58,1.9,2.3,0.839,0.9,3.8,4.8,5.0,1.0,1.1,1.8,1.9,17.5,DPOY-10,whitede01,16.6,0.606,0.721,0.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6
21,Dyson Daniels,21,ATL,SG,76,76,2571,6.4,12.9,0.493,1.1,3.3,0.34,5.3,9.6,0.545,0.536,1.2,2.0,0.593,1.7,4.6,6.3,4.7,3.2,0.8,2.2,2.5,15.0,DPOY-2MIP-1DEF1,daniedy01,15.6,0.545,0.255,0.152,5.1,14.2,9.6,17.9,4.2,2.0,13.6,18.2,1.3,3.7,5.0,0.093,-1.1,2.6,1.5,2.3
22,Nikola Jokić,29,DEN,C,70,70,2571,11.0,19.1,0.576,1.9,4.6,0.417,9.1,14.5,0.627,0.627,5.1,6.3,0.8,2.8,9.7,12.5,10.0,1.8,0.6,3.2,2.2,29.0,MVP-2CPOY-2ASNBA1,jokicni01,32.0,0.663,0.243,0.331,9.0,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8
23,Austin Reaves,26,LAL,SG,73,73,2550,6.7,14.6,0.46,2.8,7.5,0.377,3.9,7.1,0.547,0.556,4.5,5.2,0.877,0.9,3.8,4.6,5.9,1.1,0.3,2.5,2.1,20.8,,reaveau01,18.1,0.616,0.512,0.353,2.8,11.5,7.3,24.9,1.6,0.8,12.9,23.7,5.6,2.1,7.6,0.144,2.4,-0.5,1.9,2.6
24,Toumani Camara,24,POR,PF,78,78,2548,4.6,10.1,0.458,1.9,5.1,0.375,2.7,5.0,0.542,0.552,1.3,1.8,0.722,2.4,3.9,6.4,2.5,1.6,0.7,1.5,3.2,12.5,DPOY-9DEF2,camarto01,12.5,0.572,0.503,0.176,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4,2.5,2.6,5.2,0.097,-0.9,0.8,-0.1,1.2
25,Pascal Siakam,30,IND,PF,78,78,2548,8.7,16.7,0.519,1.8,4.6,0.389,6.9,12.1,0.568,0.572,3.2,4.4,0.734,1.9,5.8,7.6,3.7,1.0,0.6,1.5,2.7,22.3,AS,siakapa01,19.2,0.599,0.274,0.261,5.9,17.6,11.8,15.7,1.3,1.5,7.6,24.2,5.0,2.5,7.5,0.142,2.2,-0.5,1.7,2.4
26,Brook Lopez,36,MIL,C,80,80,2546,5.6,10.9,0.509,2.0,5.3,0.373,3.6,5.7,0.636,0.599,1.6,2.0,0.826,1.6,4.1,5.7,2.0,0.7,2.1,1.2,2.4,14.7,,lopezbr01,14.8,0.624,0.482,0.178,5.0,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8
27,Karl-Anthony Towns,29,NYK,C,72,72,2517,9.1,17.4,0.526,2.0,4.8,0.42,7.1,12.5,0.567,0.584,4.8,5.8,0.829,3.0,10.1,13.2,3.2,1.0,0.7,2.7,3.6,25.2,ASNBA3,townska01,23.4,0.63,0.278,0.337,9.8,32.0,21.0,13.8,1.4,1.9,12.1,27.4,6.3,3.8,10.1,0.193,3.5,0.1,3.6,3.5
28,Bub Carrington,19,WAS,PG,82,57,2458,4.4,11.0,0.401,2.0,6.0,0.339,2.4,5.0,0.475,0.493,1.0,1.2,0.812,0.5,4.5,5.0,5.3,0.8,0.3,2.1,2.8,11.8,,carrica01,9.0,0.514,0.544,0.114,1.4,13.1,7.2,21.2,1.0,0.8,15.2,15.8,-0.4,0.6,0.2,0.005,-3.3,-1.3,-4.6,-1.6
29,Cade Cunningham,23,DET,PG,70,70,2452,10.0,21.4,0.469,2.2,6.1,0.356,7.9,15.3,0.515,0.521,4.6,5.4,0.846,0.8,5.4,6.2,9.4,1.0,0.8,4.5,2.9,26.9,MVP-7ASNBA3,cunnica01,20.6,0.565,0.287,0.254,2.5,16.5,9.6,43.0,1.4,2.1,16.0,33.2,3.0,2.9,5.9,0.115,3.8,0.1,3.9,3.7
30,Tyrese Haliburton,24,IND,PG,73,73,2451,7.0,14.8,0.473,3.2,8.3,0.388,3.8,6.5,0.581,0.582,2.8,3.3,0.851,0.6,3.2,3.8,9.9,1.5,0.7,1.8,1.4,20.0,NBA3,halibty01,21.8,0.616,0.559,0.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9
31,Coby White,24,CHI,SG,74,73,2450,7.5,16.5,0.453,3.2,8.6,0.37,4.3,7.9,0.544,0.55,4.1,4.5,0.902,0.4,3.6,4.0,4.8,1.0,0.2,2.6,2.3,22.2,,whiteco01,15.5,0.601,0.521,0.274,1.1,10.4,5.8,19.5,1.3,0.6,12.4,24.4,3.0,1.5,4.5,0.088,0.5,-1.4,-0.9,0.7
32,LeBron James,40,LAL,SF,70,70,2444,9.6,18.7,0.513,2.2,5.8,0.376,7.4,12.9,0.574,0.571,3.8,4.9,0.782,1.1,7.0,8.0,8.5,1.0,0.6,3.8,1.5,25.2,MVP-6CPOY-7ASNBA2,jamesle01,22.7,0.604,0.312,0.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7
33,Domantas Sabonis,28,SAC,C,70,70,2429,7.8,13.2,0.59,1.0,2.3,0.417,6.8,10.9,0.627,0.627,3.2,4.3,0.754,4.0,10.4,14.4,6.3,0.7,0.4,3.0,3.4,19.8,,sabondo01,22.9,0.655,0.175,0.324,12.3,32.6,22.4,26.0,1.0,1.0,16.5,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4
34,Jamal Murray,27,DEN,PG,67,67,2418,7.9,16.7,0.474,2.3,5.9,0.393,5.6,10.8,0.518,0.543,3.2,3.7,0.886,0.7,3.2,3.9,6.0,1.4,0.5,2.1,1.9,21.4,,murraja01,17.8,0.584,0.354,0.219,2.2,9.3,5.9,23.2,1.8,1.2,10.1,24.0,4.6,1.6,6.2,0.123,1.8,-1.0,0.8,1.7
35,Alperen Şengün,22,HOU,C,76,76,2395,8.5,17.2,0.496,0.3,1.4,0.233,8.2,15.8,0.519,0.505,4.4,6.4,0.692,3.9,7.9,11.8,5.6,1.3,0.9,2.9,3.1,21.8,AS,sengual01,21.4,0.545,0.079,0.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9
36,Dillon Brooks,29,HOU,SF,75,75,2388,5.8,13.5,0.429,2.8,7.1,0.397,3.0,6.4,0.465,0.533,1.5,1.8,0.818,1.1,3.0,4.1,1.9,0.9,0.2,1.1,3.6,15.9,,brookdi01,11.0,0.555,0.524,0.135,3.3,9.1,6.1,7.4,1.2,0.6,7.4,17.7,2.7,2.5,5.1,0.103,-1.4,0.0,-1.4,0.4
37,Rudy Gobert,32,MIN,C,72,72,2388,5.1,7.7,0.669,0.0,0.0,,5.1,7.7,0.669,0.669,2.8,4.1,0.674,4.0,7.8,11.8,1.9,0.8,1.6,1.3,2.7,13.1,DPOY-13DEF2,goberru01,18.3,0.687,0.0,0.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13.0,6.1,4.0,10.1,0.204,0.6,1.3,1.9,2.4
38,Tobias Harris,32,DET,PF,73,73,2305,6.0,12.6,0.477,1.4,4.1,0.345,4.6,8.4,0.542,0.534,2.2,2.6,0.861,1.0,5.7,6.7,2.5,1.2,0.9,1.3,2.2,15.6,,harrito02,13.9,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,0.108,-0.5,0.6,0.1,1.2
39,Darius Garland,25,CLE,PG,75,75,2301,8.7,18.4,0.472,3.3,8.3,0.401,5.4,10.1,0.53,0.562,3.5,4.0,0.878,0.7,2.6,3.3,7.9,1.4,0.2,3.0,2.2,24.2,CPOY-6AS,garlada01,19.9,0.6,0.451,0.217,2.3,7.6,5.0,32.2,1.9,0.4,12.8,27.2,5.8,2.3,8.1,0.169,3.9,-0.8,3.1,3.0
40,Jalen Brunson,28,NYK,PG,65,65,2301,9.2,18.8,0.488,2.4,6.2,0.383,6.8,12.6,0.539,0.551,5.8,7.0,0.821,0.4,2.5,2.9,7.4,0.9,0.1,2.6,2.2,26.4,MVP-10CPOY-1ASNBA2,brunsja01,21.6,0.605,0.331,0.373,1.4,7.9,4.7,32.3,1.3,0.3,10.5,29.5,6.8,1.4,8.3,0.172,4.7,-1.3,3.3,3.1
41,Jarrett Allen,26,CLE,C,82,82,2296,7.1,10.0,0.706,0.0,0.1,0.0,7.1,10.0,0.712,0.706,3.1,4.3,0.718,3.4,9.1,12.5,2.5,1.2,1.1,1.5,2.0,17.3,,allenja01,22.1,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6
42,Chris Paul,39,SAS,PG,82,82,2292,3.9,9.2,0.427,2.2,5.8,0.377,1.7,3.3,0.514,0.547,1.3,1.4,0.924,0.5,4.1,4.6,9.5,1.6,0.3,2.0,2.4,11.4,,paulch01,14.7,0.58,0.636,0.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14.0,4.2,1.6,5.7,0.12,0.3,0.5,0.8,1.6
43,Anfernee Simons,25,POR,SG,70,70,2292,7.5,17.7,0.426,3.4,9.3,0.363,4.1,8.4,0.496,0.521,2.7,3.0,0.902,0.4,2.6,3.0,5.3,0.9,0.1,2.2,1.8,21.2,,simonan01,14.9,0.557,0.527,0.172,1.2,8.0,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,0.087,1.5,-1.5,-0.1,1.1
44,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,12.5,20.7,0.601,0.2,1.0,0.222,12.3,19.8,0.62,0.607,6.9,11.1,0.617,2.3,10.2,12.6,6.8,0.9,1.2,3.2,2.4,32.0,MVP-3DPOY-8ASNBA1,antetgi01,30.5,0.625,0.048,0.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6
45,Malik Beasley,28,DET,SG,82,18,2283,7.3,16.9,0.43,5.0,12.1,0.416,2.2,4.8,0.466,0.579,1.5,2.2,0.679,0.7,2.6,3.4,2.2,1.2,0.1,1.3,2.0,21.1,6MOY-2,beaslma01,14.4,0.59,0.715,0.131,2.3,8.0,5.2,8.9,1.5,0.2,6.8,22.5,2.9,1.8,4.7,0.1,2.0,-1.2,0.8,1.6
46,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,3.8,8.6,0.439,1.8,5.2,0.342,2.0,3.4,0.589,0.543,1.3,1.5,0.863,0.5,2.1,2.7,2.1,1.6,0.5,1.0,2.1,10.6,,caldwke01,9.9,0.574,0.607,0.175,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,0.096,-3.0,1.6,-1.4,0.3
47,Nikola Vučević,34,CHI,C,73,72,2278,8.7,16.4,0.53,2.0,5.1,0.402,6.7,11.3,0.587,0.592,1.9,2.4,0.805,2.8,8.8,11.6,4.0,1.0,0.8,1.9,2.6,21.3,,vucevni01,20.3,0.611,0.309,0.144,8.3,25.2,16.9,17.1,1.2,2.0,9.7,22.4,4.7,2.6,7.3,0.153,2.5,0.1,2.6,2.7
48,Payton Pritchard,27,BOS,PG,80,3,2271,6.5,13.7,0.472,4.0,9.9,0.407,2.4,3.8,0.642,0.62,1.1,1.3,0.845,1.6,3.2,4.9,4.4,1.1,0.2,1.3,1.9,18.1,6MOY-1,pritcpa01,17.6,0.633,0.723,0.097,4.9,9.8,7.3,18.1,1.5,0.6,8.4,19.0,6.1,2.5,8.6,0.183,3.4,0.2,3.5,3.2
49,Kevin Durant,36,PHO,PF,62,62,2265,9.4,17.9,0.527,2.5,5.9,0.43,6.9,12.0,0.574,0.598,4.8,5.7,0.839,0.4,5.6,5.9,4.2,0.8,1.2,3.0,1.7,26.2,AS,duranke01,21.2,0.642,0.331,0.321,1.2,16.9,9.2,19.6,1.1,3.2,12.9,28.7,4.0,1.2,5.2,0.111,3.9,-0.7,3.2,3.0
50,Shaedon Sharpe,21,POR,SG,72,52,2252,8.0,17.6,0.452,2.3,7.5,0.311,5.6,10.1,0.557,0.519,3.0,3.9,0.785,1.1,4.1,5.2,3.2,1.0,0.3,2.4,1.9,21.3,,sharpsh01,14.5,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11.0,25.1,1.3,1.7,3.0,0.064,0.0,-1.3,-1.3,0.4
51,Stephen Curry,36,GSW,PG,70,70,2252,9.0,20.1,0.448,5.0,12.5,0.397,4.0,7.6,0.534,0.572,4.5,4.8,0.933,0.6,4.3,5.0,6.7,1.3,0.5,3.2,1.5,27.5,MVP-9CPOY-5ASNBA2,curryst01,21.5,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8
52,De'Aaron Fox,27,2TM,PG,62,62,2241,8.7,18.7,0.463,1.9,6.1,0.31,6.8,12.6,0.538,0.514,4.2,5.1,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.4,,foxde01,18.3,0.56,0.328,0.273,2.7,12.1,7.4,27.2,2.0,1.1,11.8,28.3,2.6,1.7,4.3,0.093,1.3,-1.0,0.4,1.3
52,De'Aaron Fox,27,SAC,PG,45,45,1663,9.0,19.1,0.469,2.0,6.2,0.322,7.0,12.9,0.539,0.521,4.4,5.3,0.829,1.0,3.9,4.9,6.0,1.4,0.4,2.9,2.6,24.3,,foxde01,19.0,0.567,0.324,0.279,3.0,12.2,7.6,26.0,1.9,1.2,11.8,29.1,2.2,1.3,3.5,0.101,2.0,-0.8,1.2,1.3
52,De'Aaron Fox,27,SAS,PG,17,17,578,7.8,17.4,0.446,1.6,5.9,0.274,6.2,11.5,0.535,0.493,3.7,4.5,0.819,0.6,4.0,4.5,7.2,1.6,0.3,2.6,2.9,20.9,,foxde01,16.3,0.537,0.339,0.257,1.7,11.9,6.8,30.8,2.1,0.8,11.6,26.0,0.5,0.4,0.9,0.071,-0.6,-1.4,-2.0,0.0
53,Jalen Williams,23,OKC,SG,69,69,2237,9.1,18.8,0.484,2.0,5.5,0.365,7.1,13.3,0.533,0.537,3.8,4.8,0.789,0.9,5.0,5.9,5.7,1.8,0.7,2.4,2.5,24.0,ASNBA3DEF2,willija06,20.3,0.573,0.291,0.256,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,3.7,4.1,7.8,0.168,2.7,1.4,4.0,3.4
54,Donovan Mitchell,28,CLE,SG,71,71,2232,9.4,21.3,0.443,3.8,10.2,0.368,5.7,11.1,0.512,0.531,4.8,5.8,0.823,0.9,4.3,5.2,5.7,1.5,0.3,2.4,2.3,27.4,MVP-5CPOY-9ASNBA1,mitchdo01,20.9,0.575,0.48,0.274,2.8,12.5,7.8,23.9,2.0,0.7,9.2,30.9,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2
55,Harrison Barnes,32,SAS,PF,82,82,2230,5.6,11.0,0.508,2.5,5.8,0.433,3.1,5.2,0.591,0.622,2.6,3.2,0.809,1.6,3.4,5.0,2.2,0.6,0.2,0.8,1.2,16.3,,barneha02,14.9,0.656,0.527,0.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5.0,0.5,5.6,0.12,1.7,-1.7,0.0,1.2
56,Julius Randle,30,MIN,PF,69,69,2226,7.4,15.2,0.485,1.7,5.1,0.344,5.6,10.1,0.555,0.542,4.4,5.4,0.806,2.3,5.5,7.9,5.2,0.8,0.3,3.2,2.8,20.8,,randlju01,17.5,0.593,0.334,0.357,7.3,16.8,12.1,22.5,1.0,0.7,15.3,25.0,3.6,2.6,6.2,0.134,1.5,-0.2,1.3,1.8
57,Amen Thompson,22,HOU,SF,69,42,2225,6.3,11.3,0.557,0.4,1.5,0.275,5.9,9.8,0.599,0.575,2.7,4.0,0.684,3.1,6.0,9.1,4.3,1.6,1.4,2.2,2.7,15.7,DPOY-5DEF1,thompam01,18.7,0.602,0.131,0.354,9.0,18.2,13.5,16.9,2.1,3.6,14.6,17.5,4.1,3.9,8.0,0.172,1.4,2.6,4.1,3.4
58,Jaren Jackson Jr.,25,MEM,C,74,74,2207,9.7,19.8,0.488,2.4,6.3,0.375,7.3,13.4,0.541,0.548,5.1,6.5,0.781,1.5,5.3,6.8,2.4,1.5,1.8,2.5,4.2,26.8,DPOY-7ASDEF2,jacksja02,19.6,0.591,0.321,0.328,4.4,15.5,10.0,10.1,1.9,4.7,9.9,28.1,3.2,3.2,6.4,0.139,1.6,0.8,2.3,2.4
59,Desmond Bane,26,MEM,SG,69,68,2205,8.0,16.6,0.484,2.7,6.8,0.392,5.4,9.8,0.548,0.565,2.9,3.2,0.894,1.0,5.8,6.8,6.0,1.3,0.5,2.8,2.7,21.7,,banede01,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9
60,Naz Reid,25,MIN,C,80,17,2200,7.0,15.1,0.462,2.9,7.6,0.379,4.1,7.5,0.544,0.556,1.8,2.3,0.776,1.5,6.3,7.9,3.0,0.9,1.2,1.8,3.1,18.6,6MOY-5,reidna01,15.8,0.577,0.501,0.155,4.7,19.3,12.1,12.6,1.3,3.0,9.9,21.5,2.4,3.3,5.7,0.125,0.8,0.8,1.6,2.0
61,Tyus Jones,28,PHO,PG,81,58,2174,5.1,11.3,0.448,2.7,6.6,0.414,2.3,4.7,0.496,0.57,0.8,0.9,0.895,0.7,2.6,3.2,7.1,1.1,0.1,1.5,1.0,13.7,,jonesty01,14.5,0.585,0.587,0.083,2.1,7.8,5.0,27.7,1.6,0.3,11.4,16.2,4.0,0.3,4.4,0.096,1.4,-1.3,0.1,1.1
