Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
1,Mikal Bridges,26,2TM,SG,83,83,2963,7.2,15.4,0.468,2.1,5.4,0.382,5.2,10.0,0.514,0.535,3.8,4.3,0.895,1.0,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,,bridgmi01,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,4.4,3.1,7.5,0.121,1.5,0.2,1.7,2.8,14.6,0.17,0.176,0.227,0.078,0.514,0.693,0.466,0.469,0.364,0.382,0.538,0.923,0.028,31,0.434,2,0
1,Mikal Bridges,26,PHO,SF,56,56,2040,6.2,13.5,0.463,1.8,4.6,0.387,4.5,8.9,0.503,0.529,2.8,3.1,0.897,1.0,3.3,4.3,3.5,1.1,0.8,1.4,2.0,17.0,,bridgmi01,14.8,0.574,0.342,0.228,3.0,10.4,6.6,14.1,1.6,2.0,8.5,19.2,2.7,2.2,4.9,0.116,0.4,0.6,1.0,1.6,14.1,0.185,0.177,0.224,0.073,0.503,0.709,0.422,0.468,0.286,0.387,0.605,0.98,0.035,24,0.46,1,0
1,Mikal Bridges,26,BRK,SG,27,27,923,9.3,19.6,0.475,2.7,7.1,0.376,6.7,12.6,0.531,0.543,6.2,7.0,0.894,0.9,3.8,4.7,2.8,1.0,0.6,1.9,1.7,27.5,,bridgmi01,21.3,0.607,0.36,0.356,2.9,11.7,7.4,12.9,1.4,1.5,7.8,30.3,1.7,0.8,2.5,0.133,4.0,-0.8,3.3,1.2,15.1,0.147,0.175,0.233,0.085,0.531,0.662,0.534,0.47,0.465,0.376,0.439,0.838,0.016,7,0.398,1,0
2,Anthony Edwards,21,MIN,SG,79,79,2842,9.0,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4.0,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.7,AS,edwaran01,17.4,0.564,0.375,0.274,1.9,15.9,9.0,19.3,2.1,1.8,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1,13.9,0.295,0.154,0.075,0.102,0.513,0.674,0.376,0.383,0.35,0.369,0.348,0.516,0.044,59,0.097,3,0
3,Zach LaVine,27,CHI,SG,77,77,2768,8.8,18.1,0.485,2.7,7.1,0.375,6.1,11.0,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.3,0.9,0.2,2.5,2.1,24.9,,lavinza01,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,14.9,0.284,0.112,0.067,0.145,0.556,0.693,0.442,0.441,0.428,0.375,0.335,0.647,0.042,56,0.138,0,0
4,Nikola Vučević,32,CHI,C,82,82,2746,7.8,15.1,0.52,1.6,4.5,0.349,6.2,10.5,0.594,0.573,1.7,2.1,0.835,2.1,9.8,11.8,3.5,0.8,0.7,1.8,2.3,19.0,,vucevni01,19.1,0.594,0.302,0.138,6.7,30.2,18.6,14.6,1.1,2.0,10.2,21.9,3.9,4.4,8.3,0.145,1.9,0.7,2.7,3.2,12.8,0.235,0.258,0.126,0.078,0.594,0.704,0.601,0.462,0.456,0.349,0.735,1.0,0.039,37,0.124,0,0
5,Julius Randle,28,NYK,PF,77,77,2737,8.7,18.8,0.459,2.9,8.4,0.343,5.8,10.5,0.553,0.536,5.3,7.0,0.757,1.9,8.2,10.1,4.2,0.6,0.3,2.8,3.1,25.5,CPOY-14ASNBA3,randlju01,20.3,0.581,0.444,0.371,5.6,25.2,15.4,18.5,0.9,0.7,11.5,29.5,5.0,3.1,8.1,0.142,3.9,-0.2,3.7,3.9,15.3,0.22,0.149,0.123,0.064,0.553,0.679,0.519,0.443,0.407,0.343,0.382,0.752,0.051,62,0.142,2,0
6,Domantas Sabonis,26,SAC,C,79,79,2736,7.6,12.3,0.615,0.4,1.1,0.373,7.2,11.3,0.639,0.632,4.3,5.8,0.742,3.3,9.5,12.8,7.5,0.9,0.5,3.0,3.7,19.9,MVP-7ASNBA3,sabondo01,23.5,0.668,0.088,0.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3.0,12.6,0.221,4.1,1.8,5.8,5.4,6.2,0.483,0.314,0.044,0.058,0.639,0.764,0.502,0.512,0.444,0.373,0.57,0.968,0.092,79,0.12,1,0
7,Jayson Tatum,24,BOS,SF,74,74,2732,9.6,20.5,0.466,3.2,9.0,0.35,6.4,11.5,0.558,0.543,7.0,8.2,0.854,1.0,7.5,8.6,4.5,1.0,0.7,2.8,2.1,29.3,MVP-4CPOY-10ASNBA1,tatumja01,23.7,0.607,0.44,0.399,3.2,22.5,13.0,20.9,1.4,1.6,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,14.8,0.235,0.208,0.058,0.06,0.558,0.738,0.457,0.389,0.366,0.35,0.515,0.646,0.065,91,0.08,0,0
8,Spencer Dinwiddie,29,2TM,SG,79,79,2725,6.1,13.9,0.438,2.4,6.5,0.369,3.7,7.4,0.498,0.524,3.5,4.4,0.812,0.4,3.2,3.6,6.8,0.9,0.3,1.9,2.5,18.1,,dinwisp01,16.0,0.573,0.467,0.314,1.2,10.2,5.7,28.1,1.2,0.8,10.8,22.1,4.5,1.8,6.3,0.111,1.6,-0.9,0.7,1.8,15.5,0.186,0.206,0.092,0.05,0.498,0.646,0.417,0.423,0.423,0.369,0.118,0.602,0.021,17,0.182,1,0
