Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Mikal Bridges,26,2TM,SG,83,83,2963,7.2,15.4,.468,2.1,5.4,.382,5.2,10.0,.514,.535,3.8,4.3,.895,1.0,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,,bridgmi01
1,Mikal Bridges,26,PHO,SF,56,56,2040,6.2,13.5,.463,1.8,4.6,.387,4.5,8.9,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.5,1.1,0.8,1.4,2.0,17.0,,bridgmi01
1,Mikal Bridges,26,BRK,SG,27,27,923,9.3,19.6,.475,2.7,7.1,.376,6.7,12.6,.531,.543,6.2,7.0,.894,0.9,3.8,4.7,2.8,1.0,0.6,1.9,1.7,27.5,,bridgmi01
2,Anthony Edwards,21,MIN,SG,79,79,2842,9.0,19.5,.459,2.7,7.3,.369,6.3,12.2,.513,.528,4.0,5.3,.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.7,AS,edwaran01
3,Zach LaVine,27,CHI,SG,77,77,2768,8.8,18.1,.485,2.7,7.1,.375,6.1,11.0,.556,.558,4.7,5.6,.848,0.5,3.9,4.5,4.3,0.9,0.2,2.5,2.1,24.9,,lavinza01
4,Nikola Vučević,32,CHI,C,82,82,2746,7.8,15.1,.520,1.6,4.5,.349,6.2,10.5,.594,.573,1.7,2.1,.835,2.1,9.8,11.8,3.5,0.8,0.7,1.8,2.3,19.0,,vucevni01
5,Julius Randle,28,NYK,PF,77,77,2737,8.7,18.8,.459,2.9,8.4,.343,5.8,10.5,.553,.536,5.3,7.0,.757,1.9,8.2,10.1,4.2,0.6,0.3,2.8,3.1,25.5,CPOY-14ASNBA3,randlju01
6,Domantas Sabonis,26,SAC,C,79,79,2736,7.6,12.3,.615,0.4,1.1,.373,7.2,11.3,.639,.632,4.3,5.8,.742,3.3,9.5,12.8,7.5,0.9,0.5,3.0,3.7,19.9,MVP-7ASNBA3,sabondo01
7,Jayson Tatum,24,BOS,SF,74,74,2732,9.6,20.5,.466,3.2,9.0,.350,6.4,11.5,.558,.543,7.0,8.2,.854,1.0,7.5,8.6,4.5,1.0,0.7,2.8,2.1,29.3,MVP-4CPOY-10ASNBA1,tatumja01
8,Spencer Dinwiddie,29,2TM,SG,79,79,2725,6.1,13.9,.438,2.4,6.5,.369,3.7,7.4,.498,.524,3.5,4.4,.812,0.4,3.2,3.6,6.8,0.9,0.3,1.9,2.5,18.1,,dinwisp01
