Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Mikal Bridges,25,PHO,SF,82,82,2854,5.8,10.8,.534,1.5,3.9,.369,4.3,6.9,.628,.601,1.7,2.0,.834,0.9,3.4,4.4,2.3,1.2,0.5,0.9,1.9,14.7,DPOY-2DEF1,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,7.6,15.4,.491,2.0,5.9,.331,5.6,9.5,.590,.554,3.4,4.2,.802,1.1,6.0,7.1,3.8,0.9,0.9,1.9,2.4,20.5,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,10.2,20.1,.504,0.7,1.9,.352,9.5,18.3,.520,.521,6.8,7.8,.877,0.7,4.4,5.1,4.9,0.9,0.3,2.4,2.3,27.8,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,9.3,20.6,.453,3.0,8.6,.353,6.3,12.0,.524,.526,5.3,6.2,.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,2.3,27.0,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,6.0,15.1,.396,2.8,8.1,.346,3.2,7.0,.454,.489,2.8,3.4,.827,1.4,4.4,5.9,3.1,1.0,0.2,1.3,1.7,17.6,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,5.7,12.1,.473,2.2,5.2,.414,3.6,6.9,.517,.562,2.1,2.5,.842,0.8,3.3,4.2,8.4,1.8,0.7,2.7,1.6,15.8,,halibty01
6,Tyrese Haliburton,21,SAC,SG,51,51,1757,5.5,12.0,.457,2.1,5.2,.413,3.4,6.8,.491,.546,1.8,2.1,.837,0.8,3.3,4.1,7.8,1.8,0.7,2.4,1.5,14.9,,halibty01
6,Tyrese Haliburton,21,IND,PG,26,26,938,6.2,12.4,.502,2.2,5.3,.416,4.0,7.1,.565,.590,2.8,3.3,.849,0.8,3.5,4.3,9.6,1.8,0.6,3.2,1.9,17.4,,halibty01
7,Russell Westbrook,33,LAL,PG,78,78,2678,7.4,16.6,.444,1.1,3.6,.298,6.3,13.0,.485,.476,3.6,5.4,.667,1.5,6.3,7.8,7.4,1.0,0.3,4.0,3.2,19.4,,westbru01
8,Trae Young,23,ATL,PG,76,76,2652,9.7,21.0,.460,3.2,8.3,.382,6.5,12.7,.512,.536,6.8,7.5,.904,0.7,3.2,3.9,10.0,1.0,0.1,4.1,1.7,29.3,ASNBA3,youngtr01
9,Tyrese Maxey,21,PHI,PG,75,74,2650,6.6,13.5,.485,1.8,4.2,.427,4.8,9.3,.512,.552,2.9,3.3,.866,0.4,2.9,3.3,4.4,0.7,0.4,1.2,2.1,17.8,,maxeyty01
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,4.4,9.4,.471,2.3,5.9,.395,2.1,3.5,.599,.595,0.8,1.1,.675,1.7,3.4,5.1,2.0,1.2,0.5,1.1,2.5,12.0,,finnedo01
11,Scottie Barnes,20,TOR,PF,74,74,2617,6.3,12.8,.492,0.8,2.7,.301,5.5,10.2,.543,.524,2.2,3.0,.735,2.7,5.0,7.7,3.5,1.1,0.8,1.9,2.6,15.6,ROY-1,barnesc01
12,Harrison Barnes,29,SAC,PF,77,77,2587,5.4,11.6,.469,2.0,5.0,.394,3.5,6.6,.525,.554,4.7,5.7,.826,1.1,4.9,6.0,2.6,0.7,0.2,1.6,1.3,17.6,,barneha02
13,Pascal Siakam,27,TOR,PF,68,68,2578,8.3,16.9,.494,1.0,3.0,.344,7.3,13.8,.527,.525,4.0,5.3,.749,1.8,6.3,8.1,5.0,1.2,0.6,2.5,3.1,21.7,NBA3,siakapa01
14,Julius Randle,27,NYK,PF,72,72,2544,7.2,17.6,.411,1.7,5.5,.308,5.5,12.1,.458,.459,4.3,5.7,.756,1.8,8.4,10.1,5.2,0.7,0.6,3.5,2.9,20.5,,randlju01
15,Tobias Harris,29,PHI,PF,73,73,2543,7.0,14.5,.482,1.4,3.9,.367,5.5,10.6,.525,.532,2.4,2.9,.842,1.1,5.9,7.0,3.6,0.7,0.6,1.6,2.3,17.8,,harrito02
16,Jalen Brunson,25,DAL,SG,79,61,2524,7.2,14.4,.502,1.3,3.6,.373,5.9,10.8,.545,.549,2.6,3.0,.840,0.6,3.8,4.4,5.4,0.9,0.0,1.8,2.2,18.3,,brunsja01
17,Buddy Hield,29,2TM,SG,81,32,2499,6.4,15.8,.406,3.8,10.3,.366,2.7,5.5,.482,.526,1.6,1.8,.874,1.0,4.1,5.1,3.3,1.1,0.4,2.2,2.7,18.2,,hieldbu01
17,Buddy Hield,29,SAC,SG,55,6,1574,6.1,15.9,.382,4.2,11.3,.368,1.9,4.5,.419,.514,1.8,2.1,.870,1.0,4.1,5.1,2.4,1.1,0.3,2.1,2.6,18.1,,hieldbu01
17,Buddy Hield,29,IND,SG,26,26,925,7.0,15.8,.447,3.1,8.6,.362,3.9,7.2,.549,.546,1.2,1.4,.886,0.9,4.2,5.1,4.8,1.0,0.4,2.5,2.8,18.4,,hieldbu01
18,Nikola Jokić,26,DEN,C,74,74,2476,11.1,19.1,.583,1.4,4.2,.337,9.7,14.9,.652,.620,5.5,6.8,.810,3.0,11.8,14.8,8.5,1.6,0.9,4.1,2.8,29.1,MVP-1ASNBA1,jokicni01
19,Karl-Anthony Towns,26,MIN,C,74,74,2476,9.3,17.7,.529,2.2,5.3,.410,7.2,12.3,.580,.591,5.6,6.8,.822,2.8,7.7,10.6,3.9,1.0,1.2,3.3,3.9,26.4,ASNBA3,townska01
20,Anthony Edwards,20,MIN,SG,72,72,2466,8.0,18.2,.441,3.1,8.8,.357,4.9,9.4,.519,.527,3.2,4.1,.786,0.9,4.1,5.0,4.0,1.5,0.7,2.8,2.4,22.4,,edwaran01
21,Fred VanVleet,27,TOR,PG,65,65,2462,6.5,16.0,.403,3.5,9.4,.377,2.9,6.7,.440,.513,2.8,3.2,.874,0.6,3.6,4.2,6.3,1.6,0.5,2.5,2.4,19.3,AS,vanvlfr01
22,Terry Rozier,27,CHO,SG,73,73,2458,7.6,17.1,.444,3.3,8.7,.374,4.3,8.4,.516,.539,2.2,2.6,.852,0.8,3.8,4.6,4.8,1.4,0.4,1.4,1.7,20.6,,roziete01
