Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
1,DeMar DeRozan,34,CHI,SF,79,79,2989,7.8,16.3,0.48,0.9,2.7,0.333,6.9,13.6,0.509,0.507,6.3,7.4,0.853,0.5,3.6,4.1,5.1,1.1,0.5,1.6,1.9,22.8,CPOY-2,derozde01,19.7,0.584,0.166,0.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,7.0,2.2,9.2,0.147,2.1,-0.3,1.8,2.8,13.2,0.182,0.172,0.25,0.23,0.509,0.684,0.494,0.49,0.402,0.333,0.282,0.853,0.019,18,0.316,1,0
2,Domantas Sabonis,27,SAC,C,82,82,2928,7.8,13.1,0.594,0.4,1.1,0.379,7.4,12.1,0.613,0.609,3.6,5.1,0.704,3.6,10.2,13.8,8.3,0.9,0.6,3.3,3.1,19.6,MVP-8DPOY-10NBA3,sabondo01,23.2,0.637,0.081,0.389,11.0,32.3,21.4,33.9,1.2,1.5,17.9,22.2,8.6,4.0,12.6,0.206,4.0,2.4,6.5,6.2,6.2,0.455,0.361,0.07,0.032,0.613,0.722,0.516,0.467,0.471,0.379,0.607,0.909,0.113,111,0.057,0,0
3,Coby White,23,CHI,PG,79,78,2881,6.8,15.1,0.447,2.6,6.9,0.376,4.1,8.2,0.508,0.534,2.7,3.2,0.838,0.5,3.9,4.5,5.1,0.7,0.2,2.1,2.3,18.9,,whiteco01,14.5,0.57,0.46,0.215,1.7,12.4,6.9,20.8,0.9,0.6,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9,15.5,0.25,0.156,0.085,0.05,0.508,0.656,0.362,0.485,0.267,0.376,0.289,0.833,0.012,14,0.126,4,0
4,Mikal Bridges,27,BRK,SF,82,82,2854,7.1,16.3,0.436,2.8,7.5,0.372,4.3,8.9,0.49,0.521,3.3,4.0,0.814,0.9,3.8,4.7,3.8,1.0,0.4,2.1,1.5,20.3,,bridgmi01,14.9,0.56,0.457,0.245,2.5,12.0,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2,15.9,0.165,0.163,0.158,0.056,0.49,0.668,0.398,0.468,0.292,0.372,0.494,0.882,0.016,20,0.338,5,1
5,Paolo Banchero,21,ORL,PF,80,80,2799,8.2,18.1,0.455,1.5,4.5,0.339,6.7,13.6,0.493,0.497,5.2,7.2,0.725,1.1,6.1,7.1,5.5,0.9,0.6,3.2,2.0,23.2,AS,banchpa01,17.3,0.546,0.249,0.397,3.4,20.0,11.6,25.2,1.3,1.6,13.0,29.7,1.3,4.0,5.3,0.09,1.3,0.0,1.3,2.3,12.6,0.225,0.235,0.183,0.108,0.493,0.703,0.403,0.395,0.421,0.339,0.363,0.655,0.063,80,0.068,2,0
6,Kevin Durant,35,PHO,PF,75,75,2791,9.7,18.5,0.523,2.2,5.2,0.413,7.5,13.3,0.567,0.581,4.7,5.5,0.856,0.5,5.9,6.4,4.9,0.9,1.2,3.1,1.7,26.2,MVP-9ASNBA2,duranke01,21.2,0.626,0.283,0.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,0.142,4.0,0.1,4.0,4.3,15.0,0.125,0.153,0.279,0.16,0.567,0.827,0.53,0.491,0.53,0.413,0.511,0.815,0.054,75,0.165,0,0
7,Dejounte Murray,27,ATL,SG,78,78,2783,8.7,18.9,0.459,2.6,7.2,0.363,6.1,11.8,0.518,0.528,2.7,3.4,0.794,0.8,4.6,5.4,6.5,1.4,0.3,2.6,1.8,22.7,,murrade01,17.7,0.555,0.379,0.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6,14.9,0.17,0.191,0.181,0.079,0.518,0.581,0.464,0.521,0.509,0.363,0.261,0.706,0.011,14,0.222,1,0
8,Anthony Edwards,22,MIN,SG,79,78,2770,9.3,20.2,0.461,2.5,6.9,0.357,6.9,13.3,0.515,0.522,5.5,6.6,0.836,0.7,4.9,5.6,5.3,1.3,0.5,3.1,1.8,26.6,MVP-7CPOY-8ASNBA2,edwaran01,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,14.1,0.228,0.192,0.125,0.114,0.515,0.707,0.438,0.446,0.333,0.357,0.331,0.558,0.051,67,0.086,5,0
9,Nikola Jokić,28,DEN,C,79,79,2737,10.8,18.6,0.583,1.1,3.0,0.359,9.7,15.5,0.626,0.612,4.7,5.8,0.817,2.9,9.9,12.8,9.3,1.4,0.9,3.1,2.6,27.4,MVP-1CPOY-4ASNBA1,jokicni01,31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,9.7,0.26,0.404,0.115,0.057,0.626,0.741,0.614,0.537,0.37,0.359,0.572,0.807,0.013,17,0.035,8,0
10,Jalen Brunson,27,NYK,PG,77,77,2726,10.4,21.8,0.479,2.8,6.9,0.401,7.6,14.8,0.516,0.543,5.6,6.6,0.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2,MVP-5CPOY-5ASNBA2,brunsja01,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4,14.3,0.127,0.275,0.189,0.09,0.516,0.636,0.519,0.474,0.426,0.401,0.23,0.583,0.002,3,0.131,1,0
