Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,DeMar DeRozan,34,CHI,SF,79,79,2989,7.8,16.3,.480,0.9,2.7,.333,6.9,13.6,.509,.507,6.3,7.4,.853,0.5,3.6,4.1,5.1,1.1,0.5,1.6,1.9,22.8,CPOY-2,derozde01
2,Domantas Sabonis,27,SAC,C,82,82,2928,7.8,13.1,.594,0.4,1.1,.379,7.4,12.1,.613,.609,3.6,5.1,.704,3.6,10.2,13.8,8.3,0.9,0.6,3.3,3.1,19.6,MVP-8DPOY-10NBA3,sabondo01
3,Coby White,23,CHI,PG,79,78,2881,6.8,15.1,.447,2.6,6.9,.376,4.1,8.2,.508,.534,2.7,3.2,.838,0.5,3.9,4.5,5.1,0.7,0.2,2.1,2.3,18.9,,whiteco01
4,Mikal Bridges,27,BRK,SF,82,82,2854,7.1,16.3,.436,2.8,7.5,.372,4.3,8.9,.490,.521,3.3,4.0,.814,0.9,3.8,4.7,3.8,1.0,0.4,2.1,1.5,20.3,,bridgmi01
5,Paolo Banchero,21,ORL,PF,80,80,2799,8.2,18.1,.455,1.5,4.5,.339,6.7,13.6,.493,.497,5.2,7.2,.725,1.1,6.1,7.1,5.5,0.9,0.6,3.2,2.0,23.2,AS,banchpa01
6,Kevin Durant,35,PHO,PF,75,75,2791,9.7,18.5,.523,2.2,5.2,.413,7.5,13.3,.567,.581,4.7,5.5,.856,0.5,5.9,6.4,4.9,0.9,1.2,3.1,1.7,26.2,MVP-9ASNBA2,duranke01
7,Dejounte Murray,27,ATL,SG,78,78,2783,8.7,18.9,.459,2.6,7.2,.363,6.1,11.8,.518,.528,2.7,3.4,.794,0.8,4.6,5.4,6.5,1.4,0.3,2.6,1.8,22.7,,murrade01
8,Anthony Edwards,22,MIN,SG,79,78,2770,9.3,20.2,.461,2.5,6.9,.357,6.9,13.3,.515,.522,5.5,6.6,.836,0.7,4.9,5.6,5.3,1.3,0.5,3.1,1.8,26.6,MVP-7CPOY-8ASNBA2,edwaran01
9,Nikola Jokić,28,DEN,C,79,79,2737,10.8,18.6,.583,1.1,3.0,.359,9.7,15.5,.626,.612,4.7,5.8,.817,2.9,9.9,12.8,9.3,1.4,0.9,3.1,2.6,27.4,MVP-1CPOY-4ASNBA1,jokicni01
10,Jalen Brunson,27,NYK,PG,77,77,2726,10.4,21.8,.479,2.8,6.9,.401,7.6,14.8,.516,.543,5.6,6.6,.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2,MVP-5CPOY-5ASNBA2,brunsja01
