Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
53,Monte Morris,26,DEN,PG,75,74,2239,6.0,12.4,0.484,2.0,5.0,0.395,4.0,7.4,0.545,0.564,1.2,1.4,0.869,0.4,3.2,3.6,5.4,0.9,0.2,1.3,1.5,15.2,,morrimo01,14.7,0.583,0.406,0.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,3.9,1.5,5.4,0.116,0.8,-0.8,0.0,1.1,16.1,0.155,0.137,0.132,0.169,0.545,0.725,0.491,0.49,0.466,0.395,0.472,0.935,0.0,0,0.328,0,0
54,Jaylen Brown,25,BOS,SF,66,66,2220,9.3,19.7,0.473,2.7,7.5,0.358,6.6,12.2,0.544,0.541,3.9,5.2,0.758,0.9,5.7,6.6,3.7,1.1,0.3,2.9,2.6,25.3,,brownja02,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,0.124,1.9,0.1,2.1,2.2,14.3,0.199,0.229,0.09,0.09,0.544,0.764,0.427,0.491,0.436,0.358,0.471,0.759,0.034,31,0.185,2,0
55,Stephen Curry,33,GSW,PG,64,64,2211,8.7,19.9,0.437,4.6,12.2,0.38,4.1,7.7,0.527,0.554,4.5,4.9,0.923,0.6,4.9,5.5,6.6,1.4,0.4,3.4,2.1,26.5,MVP-8ASNBA2,curryst01,21.4,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1.0,13.2,30.8,4.6,3.4,8.0,0.173,5.4,0.4,5.8,4.4,19.8,0.12,0.134,0.062,0.071,0.527,0.599,0.53,0.513,0.414,0.38,0.368,0.572,0.0,0,0.091,5,0
56,Jrue Holiday,31,MIL,PG,67,64,2207,7.8,15.6,0.501,2.2,5.2,0.411,5.6,10.3,0.547,0.57,2.2,2.9,0.761,1.1,3.8,4.9,7.5,1.8,0.5,3.0,2.2,20.0,DPOY-8DEF2,holidjr01,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15.0,23.5,4.5,2.4,6.9,0.15,2.9,0.3,3.2,2.9,13.6,0.222,0.246,0.124,0.071,0.547,0.651,0.464,0.542,0.515,0.411,0.197,0.432,0.004,4,0.103,1,0
57,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,11.3,20.3,0.553,1.2,4.0,0.293,10.1,16.4,0.616,0.582,9.0,12.5,0.722,2.2,10.5,12.7,6.3,1.2,1.5,3.6,3.5,32.7,MVP-3DPOY-6ASNBA1DEF1,antetgi01,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,9.8,0.399,0.194,0.119,0.08,0.616,0.805,0.419,0.419,0.43,0.293,0.426,0.423,0.147,174,0.025,2,0
58,Kyle Kuzma,26,WAS,PF,66,66,2204,6.9,15.3,0.452,2.1,6.1,0.341,4.8,9.2,0.526,0.52,2.5,3.6,0.712,1.1,8.0,9.2,3.8,0.7,0.9,2.8,2.1,18.5,,kuzmaky01,15.2,0.547,0.401,0.234,3.6,24.3,14.1,16.3,0.9,2.2,14.1,24.2,0.0,2.0,2.0,0.044,0.2,-0.4,-0.2,1.0,14.7,0.167,0.254,0.107,0.065,0.526,0.744,0.496,0.39,0.311,0.341,0.485,0.875,0.024,19,0.227,1,0
59,Derrick White,27,2TM,SG,75,52,2199,5.5,13.1,0.421,1.9,6.0,0.312,3.6,7.1,0.515,0.493,3.3,3.8,0.864,0.6,3.7,4.3,6.0,1.0,0.9,1.9,2.8,16.2,,whitede01,14.8,0.549,0.461,0.294,1.8,10.7,6.3,22.9,1.4,2.3,11.6,19.9,2.8,2.3,5.1,0.111,0.4,0.6,0.9,1.6,15.6,0.159,0.231,0.12,0.029,0.515,0.614,0.503,0.479,0.217,0.312,0.401,0.835,0.009,7,0.195,1,0
59,Derrick White,27,SAS,SG,49,48,1486,5.9,13.8,0.426,2.0,6.3,0.314,3.9,7.6,0.519,0.497,3.4,3.9,0.869,0.6,3.6,4.2,6.6,1.2,1.0,2.1,2.8,17.1,,whitede01,15.7,0.551,0.453,0.281,1.8,10.5,6.1,25.2,1.6,2.4,12.0,20.7,2.0,1.3,3.3,0.107,1.2,0.6,1.8,1.4,15.2,0.168,0.228,0.126,0.025,0.519,0.594,0.515,0.472,0.286,0.314,0.358,0.815,0.009,5,0.182,0,0
59,Derrick White,27,BOS,SG,26,4,713,4.7,11.6,0.409,1.7,5.6,0.306,3.0,6.0,0.504,0.483,3.2,3.8,0.853,0.7,3.8,4.4,4.6,0.8,0.8,1.6,2.8,14.4,,whitede01,12.9,0.544,0.483,0.326,2.0,11.1,6.7,18.2,1.0,2.0,10.8,18.2,0.9,0.9,1.8,0.121,-1.4,0.5,-0.9,0.2,16.0,0.135,0.239,0.104,0.039,0.504,0.677,0.473,0.5,0.111,0.306,0.517,0.882,0.009,2,0.225,1,0
60,Kevin Huerter,23,ATL,SF,74,60,2188,5.7,12.5,0.454,2.6,6.8,0.389,3.0,5.7,0.53,0.559,0.7,0.9,0.808,0.5,3.7,4.2,3.3,0.9,0.4,1.5,3.0,14.7,,huertke01,11.9,0.57,0.541,0.068,1.6,11.0,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1.0,2.8,0.062,-0.5,-0.7,-1.2,0.4,17.8,0.107,0.134,0.136,0.079,0.53,0.667,0.49,0.505,0.467,0.389,0.519,0.9,0.004,3,0.258,2,0
