Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Bradley Beal,25,WAS,SG,82,82,3028,9.1,19.1,.475,2.5,7.1,.351,6.6,12.0,.548,.540,4.3,5.3,.808,1.1,3.8,4.9,5.3,1.4,0.7,2.7,2.7,25.0,AS,bealbr01
2,James Harden,29,HOU,PG,78,78,2867,10.6,24.0,.442,4.7,12.9,.368,5.8,11.1,.528,.541,9.5,10.8,.879,0.8,5.7,6.5,7.4,2.0,0.7,4.9,3.1,35.4,MVP-2ASNBA1,hardeja01
3,Kemba Walker,28,CHO,PG,82,82,2863,9.2,21.2,.434,3.3,9.2,.356,5.9,12.0,.494,.511,4.8,5.7,.844,0.7,3.9,4.5,6.1,1.3,0.4,2.7,1.6,26.4,ASNBA3,walkeke02
4,Tobias Harris,26,2TM,PF,82,82,2847,7.7,15.9,.487,2.0,5.0,.397,5.8,10.9,.528,.549,3.4,3.9,.866,0.9,7.3,8.2,2.9,0.6,0.5,1.9,2.3,20.8,,harrito02
4,Tobias Harris,26,LAC,PF,55,55,1903,8.0,16.2,.496,2.1,4.9,.434,5.9,11.3,.523,.561,3.6,4.1,.877,0.7,7.5,8.2,2.8,0.8,0.5,2.1,2.3,21.8,,harrito02
4,Tobias Harris,26,PHI,PF,27,27,944,7.1,15.2,.469,1.7,5.1,.326,5.5,10.1,.542,.524,2.8,3.4,.841,1.2,6.9,8.1,3.0,0.4,0.5,1.6,2.3,18.8,,harrito02
5,Paul George,28,OKC,SF,77,77,2841,9.0,20.5,.438,3.7,9.6,.386,5.3,10.9,.484,.529,5.7,6.8,.839,1.3,6.6,8.0,4.0,2.2,0.4,2.6,2.7,27.4,MVP-3DPOY-3ASNBA1DEF1,georgpa01
6,Damian Lillard,28,POR,PG,80,80,2838,8.6,19.4,.444,3.0,8.2,.369,5.6,11.3,.499,.522,5.9,6.5,.912,0.9,3.8,4.7,7.0,1.1,0.4,2.7,1.9,26.2,MVP-6ASNBA2,lillada01
7,P.J. Tucker,33,HOU,PF,82,82,2802,2.7,6.7,.396,1.9,5.0,.377,0.8,1.7,.449,.535,0.5,0.8,.695,1.6,4.6,6.2,1.2,1.7,0.5,0.8,3.2,7.7,,tuckepj01
8,Kevin Durant,30,GSW,SF,78,78,2702,9.6,18.4,.521,1.8,5.2,.353,7.8,13.3,.587,.571,6.0,6.7,.885,0.4,6.2,6.6,6.1,0.8,1.1,3.0,2.1,27.0,MVP-8ASNBA2,duranke01
9,Ben Simmons,22,PHI,PG,79,79,2700,7.2,12.8,.563,0.0,0.1,.000,7.2,12.7,.566,.563,3.4,5.7,.600,2.3,7.0,9.3,8.1,1.5,0.8,3.7,2.8,17.8,AS,simmobe01
10,DeMar DeRozan,29,SAS,SG,77,77,2688,8.5,17.6,.481,0.1,0.6,.156,8.4,17.0,.492,.483,4.9,5.9,.830,0.7,5.5,6.2,6.4,1.2,0.5,2.7,2.4,21.9,,derozde01
